Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6
13548.2,53197.7,-5874.52,57,288,2334
8072.84,30931,-3057,12,158,1580
4162.97,1941.62,-1068.4,8,63,166
3945.62,1445.45,-989.383,42,52,133
13666,92319.6,-6620,54,254,3885
12231,48393,13000,32,166,1414
2643.5,50.7956,-571,6,33,5
8714.23,24059,-2743,18,151,1358
14437.6,104597,-8120,39,300,4155
8437.93,21213,-3414,34,164,1214
8025.84,12885.1,-2758.55,16,132,806
13298.5,82000,-7275,39,288,3546
12933.4,95238,-6333.7,39,273,4429
3970.14,2177.4,-1105.52,20,54,165
13848.5,146770,-8772,52,305,5635
15578,157585,-8720,78,388,6290
9212.63,17180.5,-4138.72,30,183,931
4490.7,1552.68,-827.579,37,52,133
13245.3,89249,-7661,51,267,3889
22654,280014,-9684.44,68,468,9276
10354.8,57372.2,-3900,48,223,2822
17312.6,192845,-8370,151,372,7096
9402.96,22472.5,-2801.45,77,145,1156
8226.14,21719,-2917,79,157,1258
4391.81,2788.67,-982.009,36,54,204
9658.82,10190.5,-2140,37,154,587
13906.3,51979.3,-5944.12,66,288,2334
5325.98,3491.26,-809.996,50,51,132
6935.58,9992.07,-3010,54,105,649
5528.22,1955.91,-1451.8,16,76,147
7185.09,14036.6,-2422.49,91,120,809
10651.2,36901.6,-1390,37,166,1414
10438.5,27767.5,-4069.9,67,214,1469
11151.2,24320,-4891,29,204,1162
9430.87,26547.6,-1470,24,166,1414
5258.03,4265.67,-1310,14,88,292
5111.6,5899,-832,10,81,396
21684.6,514203,-12439.8,133,540,18067
12851.2,79650.6,-5740,60,272,3539
10990.9,85233.2,-2890,21,220,3450
9772.94,51906.7,-2190,27,188,2599
13810.3,46425.1,-5826.69,62,273,2061
14491.2,60356,-6140,64,300,2139
19052.1,161033,-7750,92,388,6290
9687.36,24798,-4140,39,190,1359
4665.68,1274.9,-806.292,24,51,102
7144.95,5179.73,-1280.34,28,83,226
8691.36,28521.3,-3481.58,33,179,1626
12767.1,62532,-5142,43,214,2460
6913.55,8137.41,-1200,21,102,516
5966.35,4143.27,-1561.22,126,88,318
8843.68,16912.5,-2688.83,77,142,844
8608.3,19573.6,-2697.6,90,151,1023
7348.51,14080.4,-2310.43,88,120,809
7002.28,11216,-2109,26,136,728
16384.7,148271,-6125,27,325,5643
4053.84,2237.16,-1048.37,21,54,165
6600.04,13481.6,-1500.78,24,96,804
8104.63,4633.68,-2692.97,32,131,271
15623.8,161191,-7774.99,77,352,6744
14608.4,139953,-4810,38,315,5844
11007.1,79305,-3456,33,227,3704
37333.6,1608170,-25314,184,898,33577
15934,107885,-5080,42,322,4619
20363.8,167977,-8604,187,374,5026
4899.49,4154.84,-1349.72,25,72,340
7095.22,7539,-4593,16,131,454
7396.99,12483.3,-2919.02,15,132,806
2520.44,55.0265,-595,94,33,5
19047.4,149743,-8450,82,449,5537
5036.3,4273.08,-1300,11,79,317
5768.63,11022.7,-1881.32,18,102,764
21783.8,411533,-9220,67,473,14125
13829.1,66242.8,-1540,67,223,2059
10753,38811.3,-3842.38,28,193,2118
13667.9,68134,-4419,72,238,2609
17752.5,139747,-9680,70,449,5537
6077.95,4122.24,-1494.81,126,88,318
8058.96,14685,-2836,10,152,849
6123.31,4963.28,4910,29,85,343
20671.6,178821,-10033,76,358,4443
9737,32921.2,-3652.19,88,176,1922
6751.22,8436,-2977,27,124,491
2384.62,52.8204,-322,92,33,5
7519.28,4930.65,-1790,21,86,205
25002.3,303703,-8990,104,537,8350
9907.52,33562.9,-3579.88,91,176,1922
13006.4,70528,-5525.14,41,262,3211
17334.1,218754,-11327,113,421,8088
6657.33,10353.5,-3660,15,109,689
6119.66,4639.33,-905,15,88,292
6626.48,7418.07,-1620,158,109,486
7737.54,27383.8,-2886.97,91,156,1521
6615.61,6168,-3333,23,132,397
7578.54,7659,-1835,13,116,399
9351.05,25740,-3165.06,25,174,1415
13236.7,61528.8,-5170,33,247,2754
6680.56,10325,-3010,15,109,689
9201.75,23910,-2424,54,173,1255
9050.64,17267.4,-3976.87,68,172,973
7636.87,9368,-2372,28,106,553
20672.4,344682,-7770,93,462,11563
11682.8,67712.2,-2014.94,66,247,3373
6597.9,7382.78,-1489.92,24,93,545
16765.4,158957,-7752,42,315,4346
5025.06,3938,-2767,5,90,271
14944.7,117075,-6370,70,271,4426
9210.41,17239.7,-4269.84,32,183,931
13918.4,106178,-8856,50,308,4156
6504.9,13101.3,-1608.46,17,96,804
2534.58,56.7712,-209,8,33,5
8465.49,13176.7,-2523.22,20,132,806
3916.08,2165.78,-942.749,21,54,165
10098.7,43197,-4534,46,190,2318
4293.3,1940.16,-1040.06,5,63,166
9846.99,39135.9,-3653.29,45,180,2054
14989.4,102157,-8431,58,357,4340
14425.4,83266.5,-2070,52,223,2822
35949.3,1209910,-22993,146,902,32818
11650.2,36852.9,-3880,24,234,1581
12764.2,48389,-3600,76,250,1639
19912.6,184401,-6770,81,403,6746
6825.01,13340.8,-1542.48,18,96,804
8948.92,26866.1,-2987.98,92,158,1403
9297.52,38657.5,-3050,14,196,1885
8082.96,12868,-3989,28,151,767
6757.58,10897,-3399,23,116,654
8088.97,13449,-4779,15,141,889
17305.8,171334,-2947,84,368,6522
6175.02,10771.7,-1809.52,14,102,764
5552.39,5019.65,-1030,15,85,343
7624.72,12100.2,-2737.64,77,128,693
8541.95,13484.5,-2925.56,23,148,729
14202.9,71256.5,-4370,67,224,2192
9052.34,11701.3,-3094.37,35,156,654
6336.07,8226,-1936,53,108,553
5327,4216.27,-597,18,88,292
5208.49,4604.75,-1670,24,88,292
9441.76,26454.2,-2921.94,100,158,1403
15926.9,162845,-7727.71,78,352,6744
6042.7,3197,-3861,15,127,270
18599.1,178407,-7651,73,438,7216
8328.39,52060.8,-4370,24,188,2599
5241.4,4789.5,-1210,22,85,343
12423.7,73214.7,-4250,25,249,3630
10389.3,55155,-3557,20,205,2824
7584,15742,-2692.12,75,134,970
10556.8,37249.6,-4122.31,113,205,1751
18097.2,237433,-9181,192,381,7710
16171.4,109979,-8090,65,351,4633
5101.95,3016.76,-1235.66,30,77,205
9603.44,39751.1,-2811.47,73,159,2181
15132.2,134839,-11936,55,410,5536
7767.28,12235,-1670.8,13,105,765
4173.59,1953.99,-1118.72,7,63,166
7180.74,9366.19,-3179.83,23,138,554
9529.37,55288,-4134,28,193,2894
8210.23,17627,-3871,167,135,888
14417,52080.9,-5497.21,63,288,2334
14174.7,163596,-7948,154,344,6859
6803.99,10831,-2813,99,118,727
12986,60587.5,-3850,43,247,2754
10632.6,48347.3,-4470,26,216,2677
9282.83,16894.9,-2738.5,82,142,844
11055.3,77773.1,-5450,39,272,3539
11464.9,60332.9,-6030,35,223,2822
11455.5,53824.5,-4424.8,111,209,2534
5501.99,4296.31,-779,17,88,292
13694.2,53010,-5902.44,52,288,2334
9434.08,38959,-4287.95,20,193,2118
10975.5,49200.1,-4310,18,216,2677
11942.4,73982.8,-4670,23,249,3630
8612.71,12064.1,-2566.86,85,128,693
9170.33,20178.8,-3500.93,80,163,1162
9019.1,28844.3,-3358.95,31,179,1626
18505.1,198592,-8410,54,390,7459
7602.64,15173.6,-2715.68,69,134,970
5550.83,1806,-2489,46,85,151
12150.4,113759,-2850,47,235,4905
9181.92,25750.2,-2827.08,33,157,1519
13013,123693,-8405,58,281,4915
15816.3,116103,-5180,54,271,4426
5541.26,4397.6,-863,12,88,292
9732.08,26278.9,-3361.55,22,174,1415
14874.8,148334,-8943,43,285,5840
15265.7,142002,-5000,54,315,5844
6983.26,10830.2,-3000,9,109,689
8034.49,16553.2,-2825.42,79,142,844
6340.51,5542.88,-1670,24,85,343
5246.95,4430.5,-54.1,20,88,292
5147.75,3478.04,-790.805,50,51,132
8606.25,8420,-4215,15,147,491
5118.03,4215.48,-1570,12,79,317
9951.83,12153.2,-2211.2,86,136,619
10154.4,26895.9,-2500,32,166,1414
2491.9,55.8893,-317,8,33,5
12459.4,71670.7,-5633.36,28,262,3211
7680,25458,-3902,43,142,1622
5154.4,2963.19,-1310.96,34,77,205
12846.9,60043.6,-5040,34,247,2754
3949.56,1473.18,-998.586,41,52,133
9534.32,47968.6,-4490,22,216,2677
6106.08,4979.25,-894,21,85,343
12114.4,73644.5,-4430,22,249,3630
8892.79,20590.9,-3522.82,92,163,1162
20568.5,338746,-12336,125,442,9536
5869.83,10845.4,-1890.38,19,102,764
27671,443927,-16710,128,693,13324
8115.99,9459.69,-1260,30,102,516
3255.73,1349.06,-264.216,0,40,100
10864.1,44379,-5275,53,204,2190
9169.75,24253,-2906.45,23,154,1252
13385.7,158829,-6132,65,306,7090
13836.6,81157.4,-5290,54,272,3539
6629.79,10259.5,-3060,16,109,689
12233.2,53072.3,-4233.62,97,209,2534
7801.06,9614.78,-2984.52,98,130,490
9040.58,27938,-3209,35,149,1254
9431.17,16796.6,-3790.96,79,172,973
4165.22,2063.3,-1064.24,10,63,166
8782.47,21769.9,-398,17,166,1111
9863.19,32932.1,-3495,80,176,1922
23276.5,520974,-11561.9,129,540,18067
9343.07,37987.2,-3800.21,41,180,2054
9443.41,53391.5,-2060,32,188,2599
20373.2,185478,-4140,75,403,6746
10125.5,86607.4,-2160,23,220,3450
7272.95,9394.1,-3119.23,21,138,554
5072.47,4273.39,-1160,11,79,317
10930.8,50679.7,-4540,23,216,2677
21803,202458,-10895,87,470,6758
10017.7,42155,-5362,26,202,2253
14168.2,94226.5,-5830,67,254,3885
15946.5,117228,-4280,58,271,4426
8273.3,12061.8,-2545.5,80,128,693
5281.75,4157.46,-1241.92,29,72,340
2591.73,68.3841,-479,96,33,5
8945.63,38794.7,-3870.93,47,180,2054
9904.91,41258,-5933,16,187,1993
10803.6,63974,-4460,90,230,3205
13768.3,50902.1,-4040,47,234,2464
9585.89,26095.7,-3396.21,27,174,1415
12211.6,42337,-6104,44,221,1749
7856.29,12825.5,-2796.23,15,132,806
6231.2,3325.37,-989,10,75,166
5896.51,6956.61,-1702.29,52,93,545
13494.2,80509.9,-5190,43,272,3539
6972.91,7991,-3076,33,112,428
23214.2,265236,-10800,79,540,8870
7010.53,14009.8,-2353.63,81,120,809
11319.8,43474.1,-1670,56,223,2059
13901.7,146542,-8242,50,326,5954
4867.59,3155.36,-1116.85,29,71,249
10697.7,39296.9,-3930.47,27,193,2118
8177.65,12009.4,-2584.42,82,128,693
17684.8,139461,-9020,76,449,5537
6911.97,5303.66,-2125.13,55,107,346
10650.1,51458.5,-4408.81,107,209,2534
6643.49,9544.47,-2481.01,28,118,621
19180.6,198440,-7890,51,390,7459
13968.7,154726,-5951,56,292,6169
8641.7,25800.3,-2650,49,156,1364
5147.09,2844.16,-1238.32,49,67,224
29495.7,856978,-23150,118,863,24470
4194.33,3356,-925,10,68,270
9550.58,17737.8,-2660.87,82,142,844
5722.98,4132.52,-1488.51,116,88,318
6502.08,5282.82,-2490,7,79,292
14900.1,140512,-4210,52,315,5844
17634.2,195974,-9420,45,390,7459
19726.6,178987,-4470,91,403,6746
9099.5,20529,-2884.53,66,145,1156
10820.4,28955.3,-2290,29,194,1521
23524.6,540960,-12723,82,411,12656
10887.9,68742.7,-5213.85,148,247,3373
9596.29,39266.8,-3080,20,196,1885
5573.2,7577.92,-1859.39,73,104,457
6599.49,5262.24,-1830,8,79,292
9688.67,32615.8,-3679.65,82,176,1922
24435.7,273730,-12100,80,540,8870
9189.21,24662.4,-2880.08,26,143,1017
5611.04,7166.24,-1631.18,49,93,545
9578.66,29653.8,-3275.86,120,171,1747
13306.8,63367,-6542,54,286,2830
10532,37933.1,-4229.97,116,205,1751
5861.25,4753.82,-1260,21,85,343
11421.1,27060,-762,35,166,1111
22721.3,501633,-14574,111,603,16774
12868,70266,-5889,61,257,3058
6353.52,5173.9,-2226.34,53,107,346
13928.4,53367.8,-5924.04,58,288,2334
15845.4,49321.1,-2555.69,64,273,2061
13165.5,60994,-5090,23,247,2754
11441.8,28331,-6127,56,167,1309
17944.7,171938,-6960,30,339,5849
20012.5,244756,-12100,85,540,8870
13433.7,60938.3,-5130,39,247,2754
12060.2,78755.3,-6150,38,272,3539
5734.87,7334.88,-1667.32,48,93,545
8823.48,12012.7,-2513.96,89,128,693
4839.23,2999.9,-1215.28,44,67,224
7398.81,13954.6,-2408.23,92,120,809
11155.1,52644.9,-3840,53,224,2192
8659.45,9951.57,-2340,44,154,587
10060.9,26829.5,-4308.53,45,214,1469
16024.8,132172,-6483,47,348,5123
22552.8,514962,-10895.1,130,540,18067
13204.5,142276,-8216,144,322,5630
11387.2,44797,-3380,46,223,2059
11071,32766,-5960,29,193,1637
11158.8,39647.6,-3980.49,101,205,1751
19601.5,269771,-10686,223,440,7593
14791.2,74941.5,-2020,60,223,2822
14415.6,142126,-6042.81,169,308,6057
9949.03,32710.2,-3525.18,94,176,1922
23867.2,470143,-12400,50,483,15505
11892.5,33965.4,971,36,234,1581
10349.8,58030.5,-4515.86,138,217,2904
8367.8,27703.9,-2340,30,156,1364
12832.6,74197.8,-4450,23,249,3630
23508.6,282331,-9477.52,83,468,9276
5824.42,7636.09,-1817.4,76,104,457
9004.17,38683.1,-3850.42,43,180,2054
14615.8,78989.2,-7356.71,64,320,3466
5586.67,1782.69,-1427.63,15,76,147
12184.6,89290.7,-6700,46,254,3885
13683.8,47053.9,-5648.22,67,273,2061
11724.8,35923,-4267,74,226,1526
14035.6,89880.5,-2920,32,254,3885
12362.8,53068.6,-4234.72,93,209,2534
5945.75,5029.7,-2390,7,79,292
5848.22,4964.52,-1950,7,79,292
5424.7,1797.18,-1429.71,19,76,147
8812.66,13724.3,-2459.68,27,132,806
3455.08,1398.86,-298.459,0,40,100
12363,73400.5,-4490,27,249,3630
22483.8,353735,-14115,71,533,11885
6741.83,13236.6,-1511.19,30,96,804
4284.48,1322.12,-877.594,9,51,102
9039.99,27411.8,-3012.01,98,158,1403
14352.5,142067,-6869.88,0,362,5847
7598.89,9742.16,-2535.83,19,123,621
9730.09,22845,-3462,39,214,1025
8949.81,28996.3,-3378.1,35,179,1626
11299.1,38231,-5587,42,189,1805
3870.42,1443.04,-989,42,52,133
6867.66,13554.4,-1511.16,21,96,804
17228.7,230844,-8095,94,419,8352
10030.5,10001,-2971,99,139,398
6255.53,1432,-250,8,81,88
12626.1,116108,-3330,46,235,4905
7586.45,9278.47,-1897.77,70,107,517
6090.24,6965,-2432,29,89,451
8452.96,19944,-3572.2,79,163,1162
11268.5,49812.2,-5010,16,216,2677
9163.48,51069.2,-2750,20,188,2599
14240,57931.9,-4620,39,215,2188
6842.81,5096.65,-1960,16,79,292
14785.6,174109,-6684,116,349,7338
6671.31,5218.64,-2150,10,79,292
10016.8,36304,-4744,40,212,2054
11731.7,60882.5,-3893.95,101,217,2904
11566.8,114279,-4230,42,235,4905
12721,116199,-4020,39,235,4905
13221.9,105660,-5544,25,263,4808
25104.1,475558,-11200,55,483,15505
9539.51,27329.6,-2799.04,84,158,1403
9424.97,39729.5,-2940,21,196,1885
8491.57,14231,-3652,54,135,732
7560.93,10042,-2681,27,118,654
9155.75,38995.5,-2450,11,196,1885
5301.73,4295.64,-891,15,79,317
26523.7,474891,-11800,59,483,15505
5905.54,7181.2,-1618.79,43,93,545
22777.4,278596,-8857.49,67,468,9276
20881.5,332512,-2730700,91,499,12195
4081.79,1452.12,-882.116,31,52,133
4890.58,6330,-1572,6,76,395
6812.61,17280,-3212,70,125,1062
6034.82,10301.5,-3060,17,109,689
9424.24,27295.7,-2859.65,97,158,1403
12188.2,37054,-3707,27,200,1575
9747.05,29209,-4401,60,192,1524
22555.7,516177,-11510.9,144,540,18067
14425.8,117536,-6756,63,293,4819
6842.04,4001.41,-2263.37,73,101,249
15768.3,114791,-3590,57,271,4426
9528.2,15134,-2373,26,161,809
9595.29,26375.2,-3336.37,30,174,1415
8971,11296.2,-3093.65,35,156,654
3446.87,655,-558,23,40,52
4799.92,3056.07,-1282.89,50,67,224
9393.71,26548.7,-3346.48,21,174,1415
9804.02,26127.4,-3292.87,28,174,1415
8979.02,25451.8,-3145.63,32,157,1519
7158.81,9436.53,-3453.2,16,138,554
7038.9,13790.1,-2390,94,120,809
3981.73,1464.02,-1001.47,38,52,133
10538.2,29944,-3381,33,183,1418
4132.51,2138.49,-1031.18,20,54,165
14849.1,143015,-3520,61,315,5844
24477.6,473378,-10900,51,483,15505
11324.7,27356.6,-4184.48,34,214,1469
5495.36,10964.1,-2147.43,18,102,764
8951.52,12611.2,-2752.41,59,136,619
13316.9,90144,-5879,49,277,4151
12202.2,41137,-6143,36,216,1754
3943.56,1463.61,-939.858,35,52,133
14004.1,116017,-1850,40,235,4905
6002.02,5104.18,-2040,7,79,292
7725.52,12847.4,-2808.44,15,132,806
13267.7,91675.6,-4540,58,254,3885
10992.1,36421.5,-2890,26,166,1414
7084.74,4115.86,-2314.87,70,101,249
9595.3,30767.9,-3220.82,126,171,1747
17922.9,159622,-9710,89,388,6290
9182.81,26707,-2730,31,156,1364
6557.18,6092,-1570,33,105,371
9233.03,16484.3,-3538.8,75,172,973
9500.66,11433,-2620.07,88,139,587
5613.72,6992.2,-1620,138,109,486
6641.48,4760.26,-1720,13,79,292
17311.2,137031,-6180,71,449,5537
8765.01,30699.1,-2101.44,31,132,1513
11635.5,55874.7,-3140,67,224,2192
18162.8,202432,-7950,61,390,7459
11821.7,31393.6,-108,31,166,1111
5791.44,7312.67,-1645.11,48,93,545
13613.4,51617.3,-4210,28,234,2464
12515.4,118096,-6188,23,263,4807
17989.7,161017,-9480,91,388,6290
7645.18,12042.4,-2782.51,74,130,694
10459.9,26966,-4195.91,51,214,1469
21143.4,335889,-7830,85,462,11563
2434.15,51.4555,-559,8,33,5
17800.6,198032,-2508800,78,383,6636
15097.8,188347,-5336,58,323,7333
5316.72,4394.67,-1650,21,85,343
9931,38031.3,-4141.77,22,193,2118
13732.2,180892,-8642,302,368,7097
5902.88,7304.41,-1643.28,52,93,545
5174.08,3143.15,-1240.08,34,77,205
6904.04,5310.65,-2302.97,73,107,346
6663.79,4011.28,-2383.87,68,101,249
11647.4,112078,75300,49,235,4905
3914.63,1445.58,-945.277,42,52,133
13173.8,78189.2,-4850,59,272,3539
5653.71,7619.97,-1857.09,75,104,457
24076.4,477532,-11300,46,483,15505
16104,122366,-5220,63,271,4426
8550.77,20108.2,-3511.28,81,163,1162
9080.1,17471.5,-2745.54,83,142,844
6000.47,7346.14,-1642.39,49,93,545
8447.02,16479.8,-2817.82,76,142,844
7581.81,8907,-3860,39,103,428
12925.8,81599,-6817,62,265,3292
7409.61,16920,-2584,45,130,932
12663.4,79528,-6471,127,292,3546
6765.22,13480.9,-1536.9,20,96,804
7433.07,13070,-2630,18,134,845
13181.6,51268.2,-3420,41,234,2464
9442.13,39214.4,-2750,25,196,1885
6897.62,5434.01,-1710,10,79,292
14107.6,55699.1,-4460,33,215,2188
10451.7,10486.3,-1660,40,154,587
12979.5,57935.1,-4060,46,224,2192
10923.6,31479,-5018,65,233,1587
4965.28,4261.85,-1450,10,79,317
10457,35209.8,-4224.16,110,208,1691
13307.8,51370.1,36.8,29,234,2464
6371.28,8475.91,-1610,26,102,516
8626.26,21900,-3695,17,147,1018
