Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Label
18507,161022,-6349.64,71,352,6744,2
9785.83,38084,-5647,22,212,2122,1
12033.1,48802.9,-5700,20,215,2188,3
12559.9,138618,-6710,38,315,5844,2
7437.23,15335.4,-2615.05,61,134,970,3
13161.7,58557.6,-2120,38,223,2822,4
13494.2,80509.9,-5190,43,272,3539,3
8179.62,16518.6,-2829.25,77,142,844,3
12312.8,46961.4,-5270,27,215,2188,3
10515,37261,-3624,29,199,1752,1
5112.79,3045.79,-1176.73,42,67,224,3
5873.19,7158.75,-1652.2,50,93,545,4
13565.4,87069,-6351,48,293,4245,1
8000.24,10945,-1526,26,129,620,1
8037.94,16391.1,-2382.56,46,134,970,5
4510.7,3618,-1605,8,65,268,1
4960.73,2801.16,-1276.22,53,67,224,2
9821.11,28335.4,-2743.99,91,158,1403,4
7400.86,9720.58,-1889.55,71,107,517,5
12656.7,51622.6,-2130,42,223,2059,3
4909.12,4660.78,-1110,25,85,343,5
16281.7,123351,-13313,261,434,4732,1
5449.69,4185.4,-1493.95,121,88,318,2
6894.84,13938.2,-2454.31,91,120,809,3
5835.02,3379.77,-2340,16,86,205,4
15259.9,59436,-4840,34,215,2188,3
9747.05,29209,-4401,60,192,1524,1
6488.37,8975,-2028,18,120,551,1
10323,37407.3,-4297.39,107,205,1751,3
4190.95,1245.37,-926.182,34,51,102,5
8920.48,10196.1,-585.315,0,130,490,4
9207.28,9818.34,-2760,35,154,587,2
9759.54,27630.1,-3870,27,194,1521,4
11185.4,58437,-4445.11,129,217,2904,2
16823.4,202504,-9091,87,432,7464,1
13560.7,139655,-5720,31,315,5844,2
24964.5,473521,-11700,47,483,15505,3
11402.2,41014,-4423,42,233,1871,1
9203.58,27274.7,-2710,24,156,1364,3
7378.51,8098,-2667,26,112,431,1
19912.6,184401,-6770,81,403,6746,5
7850.92,14093.4,-2835.79,19,140,845,1
9152.16,20146.5,-3483.26,80,163,1162,2
7709.41,18841,-3490,14,138,1110,1
13879.6,75789.2,-3750,33,249,3630,3
13645,80008.2,-125,57,272,3539,4
10278.6,23934,-933,33,166,1111,3
3842.02,1519.86,-591.08,30,40,100,2
9139.71,17005.7,-4003.8,78,172,973,5
7905.75,19495,-3632,55,151,1162,1
7848.41,12833.9,-2773.08,15,132,806,4
23940.4,588085,-11491,141,616,16961,1
11234.5,39131.3,-3845.38,27,193,2118,4
6626.21,4743,-3357,19,105,295,1
10469.6,29615,-3379,45,185,1690,1
6009.19,7529.48,-1620.08,52,93,545,3
25999.3,481586,-12100,88,483,15505,4
11233.8,49458,-6109,19,233,2187,1
16960.3,179968,-11634,68,452,7230,1
5022.06,3502.19,-799.186,47,51,132,2
14309.6,51705.2,-4220,37,234,2464,3
9596.65,51845.4,-2940,22,188,2599,3
7955.23,12902,-2780.13,15,132,806,4
8892.49,21934.6,-2590,20,166,1111,3
6102.98,10115,-2406,16,110,649,1
14756.6,94854.9,-5476.5,51,294,4249,5
9376.99,28721.3,-3381.25,33,179,1626,4
15312.5,117629,-4510,52,271,4426,2
3525.57,2074.6,-611.724,6,43,161,5
35616.2,1385700,-21268,114,728,33059,1
9650.62,39735.6,-3160,17,196,1885,3
7047.42,8848.22,-1390,21,102,516,5
16977.7,405596,-11372,94,439,14806,1
10100.8,26421.6,-4390.07,37,214,1469,4
18423.4,159779,-9440,90,388,6290,4
2453.41,52.188,-538,6,33,5,5
6751.78,9353.05,-3313.33,20,138,554,3
7483.24,9210.41,-3105.06,16,138,554,2
15654.6,49546.9,-4792.65,75,273,2061,5
18512.6,160672,3630,92,388,6290,4
36715.4,1350800,-24252,134,971,31560,1
4102.11,2244.96,-1123.64,20,54,165,5
7503.62,13644,-2684,25,148,769,1
16800.8,105041,-5774,48,333,4250,1
13364.7,90465.4,-4010,44,254,3885,3
15394.1,80500.7,-2710,58,223,2059,2
8835.56,16761.2,-2659.99,73,142,844,3
26806.6,672224,-18932,124,719,19835,1
19139.2,130542,-8637,223,326,4163,1
11066.5,37732.1,-3840.33,99,205,1751,3
8996.03,11337.9,-3022.64,40,156,654,4
15230.1,94747,-6792,80,322,3889,1
7600.69,14098.6,-2288.34,85,120,809,2
19505.3,182069,-4710,69,403,6746,4
5541.25,4197.2,-1505.6,121,88,318,3
5944.11,2264.52,-1396.77,20,82,185,4
4004.33,2168.84,-1091.01,20,54,165,2
21120.8,410478,-9100,57,473,14125,2
7752.55,26111.5,-2980.7,93,156,1521,4
9558.47,52234,-2200,40,188,2599,3
17362.5,161236,-12000,82,388,6290,3
24375.7,242797,-8510,96,537,8350,3
11389.5,38072.2,-2840,41,196,1997,3
4966.31,2915.7,-1207.01,46,67,224,3
7819.48,9585.32,-2526.51,20,123,621,3
13244.3,77173.6,-6861.68,102,320,3466,5
10439.9,53985,-6036,29,188,2458,1
13662.9,61082.4,-3890,30,247,2754,4
7386.03,14188,-2902,32,156,845,1
3736.8,1436.3,-634.175,33,40,100,4
11408.7,73530.7,-5340,26,249,3630,2
5564.39,3326,-1675,13,89,248,1
7787.56,12962.3,-2632.23,16,132,806,4
10018.9,35185.1,-4403.02,124,208,1691,4
13015.2,60956.4,-5750,34,247,2754,3
11172.8,37930,-4017,51,212,1934,1
5873.01,4784.56,-1340,24,85,343,5
13228.4,99497.5,-5983.67,145,281,4061,5
18261.6,160419,-9930,88,388,6290,3
2401.42,49.0126,-589,92,33,5,3
8225.49,12088.9,-2587.32,81,128,693,3
10938.1,86618.9,-2430,24,220,3450,3
5657.59,5428,-2278,12,99,345,1
14087,115989,-2190,42,235,4905,4
12271.9,114568,-3350,47,235,4905,3
17980.7,229556,-9004,102,366,7956,1
9061.81,12962.8,-2408.95,82,128,693,4
9618.57,32579,-4902,46,170,1689,1
9119.85,25326.5,-795,16,166,1111,3
16563.8,171353,-9968,227,386,6756,1
10433.5,57935,-4304,23,221,2824,1
10032.2,38443.7,-4136.37,15,193,2118,3
2544.29,56.3223,-383,6,33,5,5
10983.3,28927.5,-1450,54,194,1521,5
14502.4,51109.8,-4000,44,234,2464,3
22062.4,410269,-8570,65,473,14125,4
8618.63,25035.6,-3166.78,32,157,1519,3
9449.21,27381,-4797,32,206,1470,1
5912.98,5140.19,-1380,20,85,343,5
14086.5,52876.8,-5659.95,61,288,2334,4
24472.2,254469,-12500,79,540,8870,3
12632.1,46213.9,-5869.65,61,273,2061,3
12251,42698,-6334,45,260,2001,1
16002.9,201826,-7738,41,324,7204,1
7751.4,9454,-1967,14,141,584,1
11070.3,70042.9,-5365.92,139,247,3373,5
7564.56,16499,-2797,58,129,887,1
12901.9,63205.2,-3260,66,224,2192,5
14353.7,54648.1,-5100,34,215,2188,3
8479,8937,-4661,66,139,457,1
14895.3,84297.5,-2310,69,223,2059,3
7446.65,15612.6,-2582.8,69,134,970,5
9229.99,31780.7,-2008.54,43,132,1513,4
4581.72,3289.44,-1355.08,34,71,249,4
10105.8,33967.9,-3514.1,95,176,1922,5
15981,115726,-4280,60,271,4426,3
8746.07,17877,-4436,60,145,968,1
4904.25,1673.7,-779.278,4,51,102,4
10967.8,17797,-4871,26,217,983,1
17930.1,394569,-8050,89,473,14125,5
7860.77,9229.4,-3097.47,18,138,554,3
13293.6,60574,-5570,25,247,2754,3
24844.8,473574,-12100,60,483,15505,3
8948.59,30331.9,-2048.31,28,132,1513,4
12346.9,58185.5,-2520,63,223,2822,4
9792.46,33109.2,-3601.05,85,176,1922,3
17731.4,163471,-7362.47,78,352,6744,2
14539.2,144300,-6000.96,165,308,6057,4
16329.3,152312,-76248,88,366,6190,1
4661.08,3940.07,-1370,17,88,292,3
9883.77,40847.4,-2722.39,60,159,2181,5
11770.6,50179.7,-3750,37,224,2192,3
12299.2,60137.6,-5930,36,247,2754,2
5641.91,4369.98,-860,19,88,292,2
5879.88,11987,-1658.75,55,105,765,2
11666.8,58361.2,-5040,44,223,2822,4
9639.27,31810.5,-2050,27,166,1414,4
13786.7,142748,-6343.85,188,308,6057,3
10909.3,102718,-5939,43,233,4712,1
5285.22,4106.79,-1544.74,130,88,318,2
9459.62,30879.5,-3140.24,119,171,1747,5
7297.51,9286.47,-3182.08,16,138,554,2
9203.42,20197.7,-3472.72,80,163,1162,2
8746.53,38912.9,-4270,30,196,1885,3
22928,268611,-4912,104,460,8479,1
26056,309715,-7340,102,537,8350,4
6541.84,5810,-2687,9,88,369,1
5869.83,10845.4,-1890.38,19,102,764,4
16431.1,98686,-6111,34,306,3631,1
7789.11,4479.33,-2760.21,28,131,271,5
8428.26,16468.4,-2811.69,83,142,844,2
3907.87,1446.07,-995.541,42,52,133,2
8679.07,26351,-2560,32,156,1364,3
8676.28,22838,-5400,20,144,1023,1
9209.59,30393.4,-3346.96,128,171,1747,5
8222.98,9630.49,-2881.84,20,138,554,3
4094.22,1903.16,-1018.06,13,63,166,5
7810.79,9787.2,-1801.4,67,107,517,5
18598.4,139021,-8960,75,449,5537,2
20858.6,346846,-11607,173,465,11123,1
18016.3,53246,-9667,58,338,2004,1
7064.33,10368.2,-2080,13,109,689,3
8487.96,25996.6,-2770,29,156,1364,4
16900.4,162568,-7440.66,82,352,6744,2
13901.2,82240.2,-4690,50,272,3539,4
12000.8,73949.5,-4590,22,249,3630,2
5427.8,4443.48,-1430,28,88,292,2
14680.5,58542.7,-6785.1,165,305,2610,2
7519.99,26320.3,-3014.4,77,156,1521,4
6985.38,5351.34,-2178.84,64,107,346,3
14634.3,58137.8,-2520,38,223,2059,3
4874.71,1397,-2042,31,73,115,1
12462.5,60594.3,-5610,29,247,2754,3
29010.4,763828,-18757,115,781,21881,1
12129.9,36165.7,-1230,31,166,1111,4
19462.3,250084,-13300,69,540,8870,3
5092.22,4613,-1623,8,94,313,1
22927.2,278761,-9691.89,67,468,9276,5
9922.32,36209.7,-4250,41,196,1997,5
13385.7,158829,-6132,65,306,7090,1
5039.7,2843.18,-1215.38,43,67,224,5
13073.4,80297.8,-5700,69,272,3539,3
8933.56,31793,-2937,39,173,1868,1
9873.67,12021.8,-2348,59,136,619,4
11053.9,86512.4,-3790,28,220,3450,4
14289.4,184005,-8676,36,336,7453,1
30049.2,1006140,-13162,125,676,27640,1
9724.35,26900.9,-3567.47,28,174,1415,4
5440.95,4244.9,-1260,19,88,292,2
15350.1,78307.6,-6433.51,117,320,3466,5
10074.1,51315.7,-2920,28,188,2599,4
9812.67,70938.7,-2880,24,249,3630,3
5264.33,2339.25,-772.795,30,51,132,5
13868.8,52037,-5911.85,56,288,2334,5
20425.4,191299,-5710,75,403,6746,4
14156,46072.6,-5779.76,64,273,2061,3
5162.77,2807.46,-1183.99,36,67,224,3
10125.3,84941.9,-4220,20,220,3450,3
13434.8,115448,-3070,42,235,4905,2
4879.66,3140.48,-1135.42,42,71,249,3
8703.46,12296.2,-2760.41,96,136,619,3
12024.8,115245,-2020,47,235,4905,3
8958.09,35419,-3358,45,195,1929,1
9663.99,34464.3,-4536.68,130,208,1691,4
3929.65,2196.71,-1012.69,21,54,165,2
15456.9,59759.2,-5080,34,215,2188,3
5309.83,4285.67,-721,11,79,317,2
6193.55,6603.99,-2222.61,12,105,459,1
10419.2,27959.9,-2470,26,194,1521,4
9144.75,26529.5,-3050,32,156,1364,3
24128.5,279957,-13400,64,540,8870,3
4247.03,2239.69,-922.626,47,51,132,3
36025.1,1352090,-19150,506,943,29097,1
7772.98,4700.2,-2612.2,38,131,271,5
12896.1,70632.8,-5572.69,42,262,3211,5
9428.37,26916,-5420,96,166,1519,1
3486.98,1399.41,-587.226,21,40,100,4
7769.86,9279.69,-1000,25,102,516,5
9217.31,11580.2,-3028.48,42,156,654,4
8080.01,9608.98,-3027.81,97,130,490,2
8615.44,12056.4,-2566.19,88,128,693,2
9934.15,26789.5,-2716.77,28,174,1415,4
18339.7,162225,-9320,79,388,6290,3
6690.99,5131.75,-2218.81,51,107,346,3
12846.9,60043.6,-5040,34,247,2754,3
6839.76,5311.48,-1610,17,79,292,2
5867.66,7577.67,-1884.85,67,104,457,3
22653.7,515113,-11528.3,146,540,18067,4
13080.6,58502,-7207,45,289,2683,1
8212.28,16607.3,-2744.42,71,142,844,4
16022.4,116505,-4360,53,271,4426,3
25606,475231,-11300,45,483,15505,3
18282.3,308912,-11053,108,438,11122,1
5196.71,3011.5,-1214.66,44,67,224,4
18355,160555,-9940,88,388,6290,3
7857.87,4729.33,-2627.54,38,131,271,5
14505,82157.9,-6790,63,272,3539,4
6610.67,8711,-2540,45,109,489,1
4599.92,4038,-1260,28,88,292,4
6341.29,4304.58,-2770,13,86,205,2
7490.77,9224.45,-2942.89,21,138,554,2
5332.45,4019.58,-2320,20,79,292,4
13855.9,93626,-6333,25,271,4158,1
21268.4,255782,8690,61,540,8870,3
6923.75,4950.68,-1951.6,29,107,346,3
15862.6,106705,-7445,57,319,4157,1
19090.2,156809,-8930,81,449,5537,2
11971.6,111162,-6193,30,245,4335,1
9329.73,47030.5,-3890,17,216,2677,3
8189.83,17857,-3751,23,146,1066,1
6664.86,10331.7,-3380,15,109,689,3
9811.39,30121.6,-3155.95,111,171,1747,5
11475.6,50805.6,-4360,21,216,2677,3
9254.26,26647.9,-1900,27,156,1364,3
9222.84,14175.4,-2876.32,26,148,729,5
16655.1,144890,-7669.01,131,362,5847,5
15039.6,111130,-9398,53,310,4066,1
4447.77,2532.7,-1349.7,13,77,205,4
6751.25,4587.82,-1910,11,86,205,5
10540.5,50217.6,-4026.76,125,190,2118,1
12708.3,79167.1,-3650,78,272,3539,4
10420.5,38783.1,-4074.74,124,205,1751,4
8567.61,9985.2,-3520,35,154,587,2
5378.17,4351.97,-349,14,88,292,2
13085.6,61252.1,-5970,31,247,2754,3
9298.26,29923,-3256.26,111,171,1747,5
25556.1,393210,-13449,373,546,12353,1
8264.63,26714.9,-3700,30,156,1364,2
7928.15,9416.93,-2929.96,20,138,554,5
18444.5,148692,-8970,80,449,5537,2
6056.01,7401.87,-1576.64,51,93,545,3
19465.8,148891,-11212,184,362,4930,1
9603.46,27772.1,-2922.91,100,158,1403,4
8604.29,12183.2,-2496.18,94,128,693,2
11303.2,55690.4,-2400,67,224,2192,4
14491.2,60356,-6140,64,300,2139,1
12827.8,83655.8,-2990,30,220,3450,3
7246.74,14479,-2637.32,64,134,970,3
9006.17,37489.1,-3703.48,49,180,2054,5
10631.9,27523.1,-4207.29,38,214,1469,3
9210.78,28589.4,-3376.39,36,179,1626,5
5486.91,4740.29,-577,24,85,343,5
13481.2,141379,-6181.32,178,308,6057,3
6703.13,8471.38,-1310,19,102,516,5
13877.9,141412,-6162.47,175,308,6057,3
8410.56,25745.1,-3218.03,37,157,1519,3
19052.1,161033,-7750,92,388,6290,4
12144.1,73493.4,-3950,23,249,3630,5
7062.27,13829,-2421.76,93,120,809,3
14828.4,109579,-6320,38,322,4619,5
11068.4,87426.5,-2890,14,220,3450,3
6349.92,2092,-1710,18,112,152,1
13595.4,140546,-4450,41,315,5844,3
21136.5,332035,-9141,98,478,12027,1
10844,27717.4,-1510,25,194,1521,4
2533.86,50.9638,-447,96,33,5,3
5740.07,7064.65,-1559.81,41,93,545,4
4641.48,3045.86,-1293.77,48,67,224,5
13143,51517.8,-6141.18,44,288,2334,4
17280.1,160690,-10900,77,388,6290,4
6450.64,13343.7,-1602.88,17,96,804,2
8027.02,9558.45,-2965.75,100,130,490,2
5293.13,4752.81,-1370,29,85,343,5
9877.73,44211.8,-4210,46,215,2188,4
7016.58,8070,-1503,30,123,487,1
3871.9,2238.34,-1113.52,21,54,165,5
5970.17,4926.44,5660,27,85,343,2
6837.26,7729.31,-1629.46,52,104,457,5
7340.2,14763.3,-2778.76,81,134,970,3
9981.42,28499,-4789,78,174,1418,1
10970.1,52198.2,-4635.64,102,209,2534,4
10010.3,39038.3,-4130.79,42,193,2118,3
2462.55,62.7443,-331,8,33,5,4
6863.11,12506,-4202,22,144,811,1
12332.5,92139,-2720,50,228,2608,1
12121.1,36654,-2520,52,234,1581,4
9844.34,18248,-5575,101,205,939,1
13098.3,60734,-5450,29,247,2754,3
10590.9,22339,-5364,4,134,652,1
13627.4,91921.6,-5650,57,254,3885,3
14973.4,106317,-8185,70,344,4438,1
11104.7,64963,-6135,45,238,3293,1
8712.23,28876.3,-3332.86,37,179,1626,5
2373.38,50.9566,-515,8,33,5,5
5204.87,4225.47,-1500,14,88,292,5
9770.75,26850,-4780,22,233,1373,1
2386.19,51.7423,-510,96,33,5,2
5594.09,4200.24,-1461.37,119,88,318,3
11488.1,46860.1,-4830,23,215,2188,3
19743.3,232568,-9653,52,441,7710,1
5570.71,4598.57,-1550,21,88,292,3
4507.91,1535.68,-830.607,16,51,102,4
14819.8,63136,-4510,57,250,2681,1
5844.32,9191,-3242,60,111,619,1
15143.5,109908,-6400,46,322,4619,5
20947.7,291308,-12816,82,605,9833,1
6667.43,4371.06,-1193.7,118,88,318,3
14305.8,52725.2,-5683.23,51,288,2334,5
10070.3,34678.3,-4424.14,134,208,1691,4
11942.4,73982.8,-4670,23,249,3630,2
9075.89,12782.5,-2749.93,39,136,619,3
14338.1,56594.2,-4170,49,215,2188,4
10367,43555,-5765,149,214,2321,1
17506.3,63952,-6749,68,292,2756,1
10342.9,71981.5,-4550,25,249,3630,2
14174,63458.7,-6510,28,247,2754,5
5858.64,11341.5,-1906.93,21,102,764,4
15027.1,57950.9,-5250,38,215,2188,3
17503.1,193829,-8563,79,336,6868,1
6337.4,17569,-2918,8,115,1106,1
5032.8,4312.81,-1810,11,79,317,2
6024.4,4224.17,-1530.91,121,88,318,2
9287.96,27627.7,-2992.37,102,158,1403,4
7529.41,7932.86,-1200,149,109,486,4
6751.12,6542.2,-2100,13,119,395,5
20784.6,244568,-13700,74,540,8870,3
8623.22,20549.2,-3494.79,88,163,1162,4
3622.05,1446.96,-1027.19,42,52,133,2
6490.39,6538,-2743,38,113,425,1
5168.09,4399.88,-1230,23,88,292,3
8756.46,38629.6,-2420,22,196,1885,3
5551.67,3240.1,-1069.11,39,71,249,3
13531.7,55822.4,-2800,41,223,2059,2
13838.2,141347,-6196.51,168,308,6057,3
7136.94,14053.6,-2380.85,91,120,809,3
10030,20527,-2033,36,146,974,1
9241.18,36781.6,-4370,35,196,1997,4
6366.8,2459,-1312,8,68,130,1
8185.46,13016.7,-2700.57,15,132,806,4
10661.4,85252.7,-2790,22,220,3450,3
8236.11,30436.7,-2004.15,39,132,1513,4
3768.76,1172.52,-831.422,30,51,102,5
6896.08,13352,-1517.18,25,96,804,3
6418.5,7389.39,-1601.06,50,93,545,3
7201.94,13987,-2294.45,79,120,809,3
10768.8,28521,-3732.37,61,214,1469,5
9252.19,14009,-2288,13,164,770,1
11231.2,36349,-4449,37,186,1416,1
9108.7,26040,-3304,25,156,1363,1
13476.6,99218,-8187,58,360,4347,1
4649.53,2000.98,-972.014,8,63,166,3
9387.9,27005.7,-2330,27,166,1414,5
18617.7,500511,-9292,67,396,14634,1
7702.91,9488.26,-3073.75,101,130,490,2
7569.35,14020.3,-2332.5,87,120,809,2
6556.03,7727.19,-1422.31,33,90,405,5
18074.4,203062,-8110,56,390,7459,5
20427.2,258287,-13800,76,540,8870,4
8750.62,11283.2,-3195.81,46,156,654,4
20911.7,156003,-9210,91,449,5537,2
8951.3,17019.9,-4021.02,36,183,931,2
4844.54,3780.02,-1530,13,79,317,2
14035.6,89880.5,-2920,32,254,3885,4
18752,167196,-6081,87,408,5435,1
12653.5,55254.9,-4262.58,72,209,2534,5
12366.1,70942.4,-5577.05,49,262,3211,5
9721.05,27016.1,-2700,11,166,1414,3
6201.62,11363.8,-1815.88,24,102,764,4
5486.36,4153.75,-1560.88,126,88,318,2
14741.2,84575,-8999,70,332,3545,1
10767.6,55136.1,2600,72,223,2822,4
5023.15,4068.27,-1329.69,11,72,340,4
9336.87,28806.1,-2350,31,156,1364,5
2771.06,51.7653,-344,92,33,5,4
5815.5,4914.62,-952,20,85,343,5
12721,116199,-4020,39,235,4905,3
18916.8,240183,-9215,67,441,8998,1
9147.92,11692.6,-3087.77,45,156,654,4
11948.1,70285.5,-5700.43,38,262,3211,5
10727.5,60535,-4729,26,241,2744,1
5277.96,4254.62,-1580,13,88,292,5
7297.55,14181,-3814,8,131,804,1
14898.3,168945,-7783,49,345,6635,1
5161,3202.11,-1116.65,39,71,249,3
9816.78,32930.3,-3577.92,100,176,1922,4
8694.47,8146,-2647,31,133,426,1
8783.28,20599,-3514.67,94,163,1162,4
22996.6,517731,-11446.9,123,540,18067,4
2491.9,55.8893,-317,8,33,5,2
5310.66,4379.63,-2030,20,85,343,5
16752.2,268037,-12578,216,386,9670,1
4652.18,1101,-528,14,67,74,1
11782.4,24609,-4259,143,197,1212,1
4857.42,3793.96,-1010,13,79,317,2
30773.3,784738,-16603,159,710,23788,1
13137.8,60650.9,-4750,27,247,2754,3
5705.56,10981.6,-2101.63,22,102,764,4
4454.01,1399,-1112,8,61,101,1
10896.5,15385,-5280,66,207,812,1
10272.3,26819.6,-3245.32,29,174,1415,5
7750.82,9523.84,-3050.25,99,130,490,2
9615.24,16937.7,-3927.52,82,172,973,3
5400.06,3520.91,-701.425,35,51,132,3
2273.6,52.2644,-242,8,33,5,2
10641.6,38424.7,-3866.32,110,205,1751,5
9834.53,35476.7,-4296.77,119,208,1691,4
11954,114599,-2330,41,235,4905,2
13011.6,80281,-6970,61,272,3539,3
4797.75,4418.97,-1170,11,79,317,4
14814.6,131366,-7171,54,363,5639,1
10834.9,57806.8,-4521.95,136,217,2904,2
10623.3,33413,-4174,132,161,1523,1
11456.1,111945,-3650,41,235,4905,3
12586.6,72243.7,-5579.48,52,262,3211,5
8782.47,21769.9,-398,17,166,1111,3
4605.12,4243.34,-2160,10,79,317,2
6842.81,5096.65,-1960,16,79,292,2
20528.8,164058,-8560,100,388,6290,4
4552.02,2231.54,-827.734,24,54,165,2
10464,40092.2,-2599.01,77,159,2181,5
23883.2,471876,-12000,70,483,15505,3
2024.82,46.9076,-343,92,33,5,4
23824.3,234683,-9450,103,537,8350,4
3783.37,1450.76,-1001.85,41,52,133,2
10703.5,10140.8,-1630,34,154,587,4
23960.6,470805,-11400,38,483,15505,4
10137.5,37160.1,-2560,40,196,1997,5
14586.1,94869.4,-4890,78,254,3885,4
9555.74,30263.8,-3198.01,110,171,1747,5
7180.74,9366.19,-3179.83,23,138,554,2
10263.5,49222.7,-2770,36,216,2677,4
4623.02,3055.72,-1253.7,38,71,249,4
19818.6,168502,-6372,34,337,4721,1
13184.3,49160.4,-2810,51,223,2059,3
5663.63,9868.39,-1857.71,43,98,651,5
19417.2,160910,-8350,89,388,6290,3
6342.39,3233,-1673,18,80,186,1
5558.71,7302.46,-1682.88,48,93,545,4
18624.7,177716,-7238,83,416,5963,1
11090.9,39758.7,-4298.37,37,193,2118,5
7533.77,11743.6,-2658.04,77,128,693,3
8174.08,9778.28,-3143.55,30,138,554,3
13462.4,92534,-5812,50,271,3224,1
7301.22,9985.05,-2467.07,22,123,621,3
14107.1,78406.6,-7200.28,72,320,3466,4
22288.7,248500,-12500,98,537,8350,3
7306.33,14229,-2423.38,88,120,809,3
9907.52,33562.9,-3579.88,91,176,1922,3
12921.4,40709.7,-3250,42,234,1581,2
13202.7,51918.6,-6078.72,54,288,2334,5
22448.9,413592,-7340,61,473,14125,2
16370.9,173366,-7200,65,403,6746,3
10257.1,82602,-4862,29,190,2966,1
5373.48,2729.62,-1759.8,49,83,187,1
6865.87,5166.32,-2108,57,107,346,3
21383.5,200790,-5850,71,403,6746,3
7463.28,14014,-2336.52,97,120,809,3
9916.77,51743.8,-2840,32,188,2599,3
12635.5,78931.4,-5890,35,272,3539,3
14247.5,51169,-4040,42,234,2464,3
8597.72,20219.8,-3510.76,80,163,1162,2
13716.3,52042,-9051,47,306,2255,1
5943.17,4399.57,-1182.79,19,72,340,4
4827.52,4073.09,-1560,9,79,317,2
8789.1,17209.6,-4060.96,79,172,973,4
21628.1,204592,-10505,71,449,6986,1
13383.5,98688,-8539,60,262,3544,1
6211.95,8367.77,-1799.94,21,98,520,1
7469.39,14810.9,-2594.36,74,134,970,3
11453.4,50313.6,-4910,28,216,2677,3
9580.94,27205,-3392.66,33,174,1415,3
9424.24,27295.7,-2859.65,97,158,1403,4
10620.1,35974.7,-444,25,166,1111,3
